Date;Time;Order;Part;Created By;Serienummer (Ax);Emne nummer;Modstandsmåling;29mm Top;30mm Top;29mm Bottom;30mm Bottom;Twist;Buede 1;Buede 2;Buede 3;Buede 4;Buede 5
11-07-2025;08:53:11;P1005454(450mm);300128;MDB7;;2080,1;8,431;29,81;30,66;29,72;30,56;-0,242;-0,444;-0,428;-0,462;-0,49;
11-07-2025;08:54:57;P1005454(450mm);300128;MDB7;;2080,2;8,433;29,77;30,6;29,7;30,43;0,306;-0,394;-0,403;-0,442;-0,449;
11-07-2025;08:56:19;P1005454(450mm);300128;MDB7;;2081,1;8,431;29,94;30,68;29,66;30,65;0,132;-0,144;-0,107;-0,126;-0,159;
11-07-2025;08:57:36;P1005454(450mm);300128;MDB7;;2081,2;8,404;29,92;30,88;29,57;30,5;0,218;-0,833;-0,892;-0,931;-0,926;
11-07-2025;08:58:51;P1005454(450mm);300128;MDB7;;2082,1;8,451;29,94;30,77;29,69;30,6;0,146;-0,22;-0,224;-0,256;-0,237;
11-07-2025;08:59:57;P1005454(450mm);300128;MDB7;;2082,2;8,43;30,05;30,81;29,76;30,4;0,503;-0,376;-0,293;-0,241;-0,178;
11-07-2025;09:01:04;P1005454(450mm);300128;MDB7;;2083,1;8,381;29,98;30,71;29,66;30,5;0,046;-0,109;-0,074;-0,089;-0,119;
11-06-2025;10:47:36;P1005454(450mm);300128;MDB7;;2084,1;8,511;29,96;30,84;29,81;30,81;0,189;-0,451;-0,379;-0,321;-0,235;
11-06-2025;10:50:27;P1005454(450mm);300128;MDB7;;2084,2;8,517;29,71;30,67;30,02;30,74;0,29;-0,732;-0,764;-0,776;-0,742;
11-06-2025;10:52:20;P1005454(450mm);300128;MDB7;;2085,1;8,56;30,08;31,04;29,92;30,93;0,133;-0,109;-0,098;-0,104;-0,085;
11-06-2025;10:53:42;P1005454(450mm);300128;MDB7;;2085,2;8,598;30,29;31,24;29,92;30,56;0,298;-0,767;-0,786;-0,774;-0,701;
11-06-2025;10:54:59;P1005454(450mm);300128;MDB7;;2086,1;8,668;29,76;30,62;30,15;30,94;0,053;-0,294;-0,273;-0,262;-0,217;
11-06-2025;10:56:25;P1005454(450mm);300128;MDB7;;2086,2;8,647;29,87;30,76;30,1;30,68;0,495;-0,741;-0,722;-0,689;-0,598;
11-06-2025;10:57:22;P1005454(450mm);300128;MDB7;;2087,1;8,665;29,77;30,78;30,2;31,14;0,035;-0,194;-0,187;-0,19;-0,16;
11-06-2025;10:58:45;P1005454(450mm);300128;MDB7;;2087,2;8,707;30,26;31,18;29,95;30,8;0,62;-0,125;-0,089;-0,076;-0,06;
11-06-2025;11:00:01;P1005454(450mm);300128;MDB7;;2088,1;8,661;30,19;31,17;29,9;30,95;0,043;-0,082;-0,073;-0,089;-0,105;
11-06-2025;11:01:06;P1005454(450mm);300128;MDB7;;2088,2;8,569;30,09;31,16;29,79;30,58;0,164;-0,401;-0,357;-0,292;-0,232;
11-06-2025;11:02:17;P1005454(450mm);300128;MDB7;;2090,1;8,527;29,84;30,72;29,82;30,79;0,214;-0,69;-0,756;-0,802;-0,799;
11-07-2025;09:02:24;P1005454(450mm);300128;MDB7;;2090,2;8,522;30,06;30,8;29,91;30,57;0,069;-0,065;-0,039;-0,075;-0,122;
11-06-2025;14:17:01;P1005454(450mm);300128;MDB7;;2091,1;8,688;30,19;31;29,92;30,88;0,486;-0,604;-0,631;-0,658;-0,652;
11-06-2025;14:18:28;P1005454(450mm);300128;MDB7;;2091,2;8,708;29,92;30,7;30,14;31,03;0,557;-0,534;-0,547;-0,546;-0,524;
11-06-2025;14:19:57;P1005454(450mm);300128;MDB7;;2092,1;8,685;29,78;30,82;30,21;31,15;0,034;-0,357;-0,348;-0,341;-0,338;
11-06-2025;14:20:52;P1005454(450mm);300128;MDB7;;2092,2;8,736;30,19;31,12;29,96;30,78;0,301;-0,386;-0,378;-0,406;-0,442;
11-06-2025;14:22:03;P1005454(450mm);300128;MDB7;;2093,1;8,734;29,82;30,83;30,26;31,32;-0,011;-0,104;-0,12;-0,171;-0,225;
11-06-2025;14:23:23;P1005454(450mm);300128;MDB7;;2093,2;8,678;29,93;30,96;30,19;31,02;0,337;-0,571;-0,571;-0,558;-0,489;
11-06-2025;14:24:23;P1005454(450mm);300128;MDB7;;2094,1;8,697;30,19;31,18;30,1;31,17;0,031;-0,323;-0,344;-0,352;-0,343;
11-06-2025;14:25:33;P1005454(450mm);300128;MDB7;;2094,2;8,683;30,45;31,35;30,04;30,84;0,345;-0,827;-0,853;-0,871;-0,847;
11-06-2025;14:26:35;P1005454(450mm);300128;MDB7;;2095,1;8,529;29,89;30,89;29,91;30,88;0,166;-0,322;-0,294;-0,26;-0,208;
11-06-2025;14:27:46;P1005454(450mm);300128;MDB7;;2095,2;8,51;30,18;31,1;29,95;30,62;0,222;-0,251;-0,195;-0,163;-0,119;
